timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732800985455,3013,HTTP Request,200,OK,JmeterScripttesting 1-16,text,true,,7488,208,325,325,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3000,0,2267
1732800985826,2646,HTTP Request,200,OK,JmeterScripttesting 1-61,text,true,,7489,208,325,325,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2644,0,1874
1732800985776,2696,HTTP Request,200,OK,JmeterScripttesting 1-56,text,true,,7491,208,325,325,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2682,0,1921
1732800986454,2015,HTTP Request,200,OK,JmeterScripttesting 1-120,text,true,,7487,208,325,325,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2013,0,1276
1732800986007,2467,HTTP Request,200,OK,JmeterScripttesting 1-79,text,true,,7489,208,325,325,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2464,0,1692
1732800986483,1993,HTTP Request,200,OK,JmeterScripttesting 1-125,text,true,,7487,208,326,326,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1982,0,1247
1732800985455,3022,HTTP Request,200,OK,JmeterScripttesting 1-9,text,true,,7489,208,326,326,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3020,0,2247
1732800986996,1494,HTTP Request,200,OK,JmeterScripttesting 1-178,text,true,,7482,208,322,322,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1492,0,724
1732800986075,2439,HTTP Request,200,OK,JmeterScripttesting 1-86,text,true,,7489,208,321,321,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2437,0,2070
1732800985744,2774,HTTP Request,200,OK,JmeterScripttesting 1-53,text,true,,7487,208,323,323,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2771,0,2392
1732800987030,1490,HTTP Request,200,OK,JmeterScripttesting 1-181,text,true,,7486,208,322,322,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1459,0,682
1732800985804,2719,HTTP Request,200,OK,JmeterScripttesting 1-59,text,true,,7492,208,321,321,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2716,0,1898
1732800986491,2033,HTTP Request,200,OK,JmeterScripttesting 1-127,text,true,,7488,208,320,320,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2031,0,1239
1732800986356,2168,HTTP Request,200,OK,JmeterScripttesting 1-114,text,true,,7489,208,320,320,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2166,0,1342
1732800987068,1459,HTTP Request,200,OK,JmeterScripttesting 1-185,text,true,,7494,208,319,319,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1457,0,671
1732800986015,2515,HTTP Request,200,OK,JmeterScripttesting 1-80,text,true,,7496,208,318,318,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2513,0,1678
1732800986530,2005,HTTP Request,200,OK,JmeterScripttesting 1-131,text,true,,7488,208,317,317,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2002,0,1199
1732800986135,2400,HTTP Request,200,OK,JmeterScripttesting 1-92,text,true,,7490,208,317,317,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2397,0,1558
1732800986648,1893,HTTP Request,200,OK,JmeterScripttesting 1-143,text,true,,7486,208,315,315,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1890,0,1091
1732800986477,2066,HTTP Request,200,OK,JmeterScripttesting 1-124,text,true,,7496,208,314,314,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2064,0,1263
1732800985650,2893,HTTP Request,200,OK,JmeterScripttesting 1-43,text,true,,7488,208,314,314,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2891,0,2052
1732800986624,1922,HTTP Request,200,OK,JmeterScripttesting 1-141,text,true,,7484,208,313,313,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1920,0,1123
1732800985454,3094,HTTP Request,200,OK,JmeterScripttesting 1-20,text,true,,7496,208,312,312,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3092,0,2298
1732800986655,1868,HTTP Request,200,OK,JmeterScripttesting 1-144,text,true,,7492,208,321,321,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1865,0,1094
1732800986535,2031,HTTP Request,200,OK,JmeterScripttesting 1-132,text,true,,7484,208,310,310,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2029,0,1588
1732800986066,2502,HTTP Request,200,OK,JmeterScripttesting 1-85,text,true,,7512,208,309,309,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2499,0,2112
1732800986036,2536,HTTP Request,200,OK,JmeterScripttesting 1-82,text,true,,7490,208,308,308,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2534,0,1664
1732800985455,3124,HTTP Request,200,OK,JmeterScripttesting 1-21,text,true,,7488,208,307,307,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3122,0,2249
1732800986444,2142,HTTP Request,200,OK,JmeterScripttesting 1-119,text,true,,7496,208,308,308,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2140,0,1277
1732800985519,3075,HTTP Request,200,OK,JmeterScripttesting 1-30,text,true,,7491,208,311,311,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3072,0,2176
1732800987185,1411,HTTP Request,200,OK,JmeterScripttesting 1-197,text,true,,7498,208,310,310,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1409,0,1026
1732800986236,2361,HTTP Request,200,OK,JmeterScripttesting 1-102,text,true,,7493,208,309,309,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2355,0,1908
1732800986193,2406,HTTP Request,200,OK,JmeterScripttesting 1-98,text,true,,7486,208,308,308,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2404,0,1960
1732800985856,2752,HTTP Request,200,OK,JmeterScripttesting 1-64,text,true,,7490,208,307,307,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2739,0,1840
1732800987057,1554,HTTP Request,200,OK,JmeterScripttesting 1-184,text,true,,7492,208,306,306,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1552,0,737
1732800986976,1636,HTTP Request,200,OK,JmeterScripttesting 1-176,text,true,,7496,208,306,306,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1633,0,790
1732800985475,3138,HTTP Request,200,OK,JmeterScripttesting 1-26,text,true,,7488,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3128,0,2711
1732800986836,1797,HTTP Request,200,OK,JmeterScripttesting 1-162,text,true,,7494,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1795,0,979
1732800986855,1779,HTTP Request,200,OK,JmeterScripttesting 1-164,text,true,,7494,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1776,0,982
1732800986965,1673,HTTP Request,200,OK,JmeterScripttesting 1-175,text,true,,7494,208,306,306,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1671,0,864
1732800986609,2030,HTTP Request,200,OK,JmeterScripttesting 1-139,text,true,,7489,208,306,306,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2027,0,1166
1732800986943,1692,HTTP Request,200,OK,JmeterScripttesting 1-173,text,true,,7494,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1688,0,853
1732800986776,1864,HTTP Request,200,OK,JmeterScripttesting 1-156,text,true,,7502,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1862,0,1014
1732800986695,1939,HTTP Request,200,OK,JmeterScripttesting 1-147,text,true,,7486,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1936,0,1060
1732800986697,1945,HTTP Request,200,OK,JmeterScripttesting 1-148,text,true,,7490,208,302,302,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1942,0,1062
1732800986748,1899,HTTP Request,200,OK,JmeterScripttesting 1-153,text,true,,7488,208,300,300,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1897,0,1076
1732800987009,1638,HTTP Request,200,OK,JmeterScripttesting 1-179,text,true,,7490,208,300,300,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1636,0,772
1732800985454,3195,HTTP Request,200,OK,JmeterScripttesting 1-15,text,true,,7490,208,298,298,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3193,0,2744
1732800987033,1579,HTTP Request,200,OK,JmeterScripttesting 1-182,text,true,,7486,208,306,306,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1576,0,724
1732800986049,2565,HTTP Request,200,OK,JmeterScripttesting 1-83,text,true,,7488,208,305,305,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2563,0,1653
1732800986175,2504,HTTP Request,200,OK,JmeterScripttesting 1-96,text,true,,7496,208,297,297,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2501,0,2021
1732800986682,1999,HTTP Request,200,OK,JmeterScripttesting 1-146,text,true,,7494,208,296,296,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1997,0,1081
1732800985454,3227,HTTP Request,200,OK,JmeterScripttesting 1-10,text,true,,7490,208,296,296,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3225,0,2250
1732800985798,2889,HTTP Request,200,OK,JmeterScripttesting 1-58,text,true,,7486,208,294,294,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2659,0,1914
1732800986548,2139,HTTP Request,200,OK,JmeterScripttesting 1-133,text,true,,7491,208,294,294,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1908,0,1173
1732800986925,1766,HTTP Request,200,OK,JmeterScripttesting 1-171,text,true,,7494,208,292,292,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1763,0,910
1732800986125,2566,HTTP Request,200,OK,JmeterScripttesting 1-91,text,true,,7487,208,292,292,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2330,0,1579
1732800985987,2704,HTTP Request,200,OK,JmeterScripttesting 1-77,text,true,,7491,208,292,292,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2468,0,1708
1732800986460,2009,HTTP Request,200,OK,JmeterScripttesting 1-122,text,true,,7489,208,292,292,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2006,0,1278
1732800986166,2528,HTTP Request,200,OK,JmeterScripttesting 1-95,text,true,,7493,208,288,288,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2289,0,1533
1732800986985,1710,HTTP Request,200,OK,JmeterScripttesting 1-177,text,true,,7488,208,288,288,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1470,0,728
1732800985456,3239,HTTP Request,200,OK,JmeterScripttesting 1-4,text,true,,7496,208,288,288,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3237,0,2256
1732800986580,2121,HTTP Request,200,OK,JmeterScripttesting 1-136,text,true,,7490,208,286,286,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2118,0,1675
1732800986585,2122,HTTP Request,200,OK,JmeterScripttesting 1-137,text,true,,7486,208,286,286,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2120,0,1176
1732800987216,1491,HTTP Request,200,OK,JmeterScripttesting 1-200,text,true,,7492,208,286,286,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1489,0,638
1732800986940,1773,HTTP Request,200,OK,JmeterScripttesting 1-172,text,true,,7486,208,284,284,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1770,0,854
1732800986764,1949,HTTP Request,200,OK,JmeterScripttesting 1-155,text,true,,7498,208,284,284,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1947,0,1049
1732800987129,1588,HTTP Request,200,OK,JmeterScripttesting 1-191,text,true,,7496,208,283,283,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1582,0,1124
1732800985455,3267,HTTP Request,200,OK,JmeterScripttesting 1-5,text,true,,7488,208,282,282,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,3256,0,2320
1732800986225,2499,HTTP Request,200,OK,JmeterScripttesting 1-101,text,true,,7502,208,281,281,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2497,0,1669
1732800987395,1330,HTTP Request,200,OK,JmeterScripttesting 1-218,text,true,,7489,208,280,280,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1328,0,429
1732800986716,2019,HTTP Request,200,OK,JmeterScripttesting 1-150,text,true,,7508,208,280,280,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2013,0,1072
1732800986959,1780,HTTP Request,200,OK,JmeterScripttesting 1-174,text,true,,7488,208,280,280,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1777,0,864
1732800985942,2793,HTTP Request,200,OK,JmeterScripttesting 1-71,text,true,,7487,208,280,280,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2787,0,1904
