timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732800281917,1869,HTTP Request,200,OK,JmeterScripttesting 1-29,text,true,,7491,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1861,0,1071
1732800282292,1493,HTTP Request,200,OK,JmeterScripttesting 1-48,text,true,,7483,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1480,0,697
1732800282414,1373,HTTP Request,200,OK,JmeterScripttesting 1-54,text,true,,7495,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1358,0,577
1732800281820,1966,HTTP Request,200,OK,JmeterScripttesting 1-24,text,true,,7487,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1952,0,1174
1732800281794,1991,HTTP Request,200,OK,JmeterScripttesting 1-23,text,true,,7493,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1978,0,1206
1732800281596,2191,HTTP Request,200,OK,JmeterScripttesting 1-3,text,true,,7488,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2176,0,1403
1732800281592,2197,HTTP Request,200,OK,JmeterScripttesting 1-10,text,true,,7487,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2180,0,1400
1732800281592,2197,HTTP Request,200,OK,JmeterScripttesting 1-6,text,true,,7490,208,122,122,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2180,0,1422
1732800282075,1738,HTTP Request,200,OK,JmeterScripttesting 1-37,text,true,,7495,208,115,115,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1733,0,914
1732800282354,1466,HTTP Request,200,OK,JmeterScripttesting 1-50,text,true,,7486,208,115,115,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1465,0,708
1732800282253,1573,HTTP Request,200,OK,JmeterScripttesting 1-46,text,true,,7492,208,114,114,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1572,0,743
1732800282393,1440,HTTP Request,200,OK,JmeterScripttesting 1-53,text,true,,7495,208,113,113,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1439,0,605
1732800282312,1524,HTTP Request,200,OK,JmeterScripttesting 1-49,text,true,,7489,208,113,113,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1520,0,812
1732800282590,1248,HTTP Request,200,OK,JmeterScripttesting 1-60,text,true,,7491,208,112,112,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1247,0,539
1732800282273,1571,HTTP Request,200,OK,JmeterScripttesting 1-47,text,true,,7499,208,111,111,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1570,0,859
